Timestamp,Open,High,Low,Close,Volume,Symbol
"Aug 12, 2020",11404.60,11748.40,11249.61,11584.93,25064548486.00,BTC/USD
"Aug 13, 2020",11588.41,11796.40,11216.87,11784.14,27522199497.00,BTC/USD
"Aug 14, 2020",11772.66,12150.99,11685.46,11768.87,24237958589.00,BTC/USD
"Aug 15, 2020",11768.70,11963.20,11768.70,11865.70,23354924400.00,BTC/USD
"Aug 16, 2020",11866.69,11934.90,11737.19,11892.80,20583375490.00,BTC/USD
"Aug 17, 2020",11895.66,12359.06,11806.70,12254.40,28227687027.00,BTC/USD
"Aug 18, 2020",12251.90,12335.71,11954.53,11991.23,26043227672.00,BTC/USD
"Aug 19, 2020",11990.88,12028.92,11687.33,11758.28,24502851117.00,BTC/USD
"Aug 20, 2020",11761.50,11900.41,11710.06,11878.37,20175242945.00,BTC/USD
"Aug 21, 2020",11878.03,11899.26,11564.98,11592.49,23762425999.00,BTC/USD
"Aug 22, 2020",11585.48,11689.41,11448.81,11681.83,20224191306.00,BTC/USD
"Aug 23, 2020",11679.70,11713.43,11559.92,11664.85,18482062658.00,BTC/USD
"Aug 24, 2020",11663.69,11807.63,11623.25,11774.60,20681511755.00,BTC/USD
"Aug 25, 2020",11773.59,11778.30,11189.85,11366.14,26301509932.00,BTC/USD
"Aug 26, 2020",11366.89,11530.05,11296.99,11488.36,22466660958.00,BTC/USD
"Aug 27, 2020",11485.61,11570.79,11185.94,11323.40,23240415076.00,BTC/USD
"Aug 28, 2020",11325.30,11545.62,11316.42,11542.50,19807127588.00,BTC/USD
"Aug 29, 2020",11541.05,11585.64,11466.29,11506.87,17485597759.00,BTC/USD
"Aug 30, 2020",11508.71,11715.26,11492.38,11711.51,19760127945.00,BTC/USD
"Aug 31, 2020",11713.31,11768.88,11598.32,11680.82,22285928250.00,BTC/USD
"Sep 01, 2020",11679.32,12067.08,11601.13,11970.48,27311555343.00,BTC/USD
"Sep 02, 2020",11964.82,11964.82,11290.79,11414.03,28037405299.00,BTC/USD
"Sep 03, 2020",11407.19,11443.02,10182.47,10245.30,31927261555.00,BTC/USD
"Sep 04, 2020",10230.37,10663.92,10207.94,10511.81,29965130374.00,BTC/USD
"Sep 05, 2020",10512.53,10581.57,9946.68,10169.57,44916565292.00,BTC/USD
"Sep 06, 2020",10167.22,10353.93,10056.89,10280.35,37071460174.00,BTC/USD
"Sep 07, 2020",10281.00,10399.15,9916.49,10369.56,33703098409.00,BTC/USD
